family,members
"Ducks, Geese, and Swans",Black-bellied Whistling-Duck
"Ducks, Geese, and Swans",Fulvous Whistling-Duck
"Ducks, Geese, and Swans",Taiga Bean-Goose
"Ducks, Geese, and Swans",Tundra Bean-Goose
"Ducks, Geese, and Swans",Pink-footed Goose
"Ducks, Geese, and Swans",Greater White-fronted Goose
"Ducks, Geese, and Swans",Lesser White-fronted Goose
"Ducks, Geese, and Swans",Graylag Goose
"Ducks, Geese, and Swans",Emperor Goose
"Ducks, Geese, and Swans",Snow Goose
"Ducks, Geese, and Swans",Ross's Goose
"Ducks, Geese, and Swans",Brant
"Ducks, Geese, and Swans",Barnacle Goose
"Ducks, Geese, and Swans",Cackling Goose
"Ducks, Geese, and Swans",Canada Goose
"Ducks, Geese, and Swans",Mute Swan
"Ducks, Geese, and Swans",Trumpeter Swan
"Ducks, Geese, and Swans",Tundra Swan
"Ducks, Geese, and Swans",Whooper Swan
"Ducks, Geese, and Swans",Egyptian Goose
"Ducks, Geese, and Swans",Muscovy Duck
"Ducks, Geese, and Swans",Wood Duck
"Ducks, Geese, and Swans",Gadwall
"Ducks, Geese, and Swans",Falcated Duck
"Ducks, Geese, and Swans",Eurasian Wigeon
"Ducks, Geese, and Swans",American Wigeon
"Ducks, Geese, and Swans",American Black Duck
"Ducks, Geese, and Swans",Mallard
"Ducks, Geese, and Swans",Mottled Duck
"Ducks, Geese, and Swans",Eastern Spot-billed Duck
"Ducks, Geese, and Swans",Blue-winged Teal
"Ducks, Geese, and Swans",Cinnamon Teal
"Ducks, Geese, and Swans",Northern Shoveler
"Ducks, Geese, and Swans",White-cheeked Pintail
"Ducks, Geese, and Swans",Northern Pintail
"Ducks, Geese, and Swans",Garganey
"Ducks, Geese, and Swans",Baikal Teal
"Ducks, Geese, and Swans",Green-winged Teal
"Ducks, Geese, and Swans",Canvasback
"Ducks, Geese, and Swans",Redhead
"Ducks, Geese, and Swans",Common Pochard
"Ducks, Geese, and Swans",Ring-necked Duck
"Ducks, Geese, and Swans",Tufted Duck
"Ducks, Geese, and Swans",Greater Scaup
"Ducks, Geese, and Swans",Lesser Scaup
"Ducks, Geese, and Swans",Steller's Eider
"Ducks, Geese, and Swans",Spectacled Eider
"Ducks, Geese, and Swans",King Eider
"Ducks, Geese, and Swans",Common Eider
"Ducks, Geese, and Swans",Harlequin Duck
"Ducks, Geese, and Swans",Labrador Duck
"Ducks, Geese, and Swans",Surf Scoter
"Ducks, Geese, and Swans",White-winged Scoter
"Ducks, Geese, and Swans",Common Scoter
"Ducks, Geese, and Swans",Black Scoter
"Ducks, Geese, and Swans",Long-tailed Duck
"Ducks, Geese, and Swans",Bufflehead
"Ducks, Geese, and Swans",Common Goldeneye
"Ducks, Geese, and Swans",Barrow's Goldeneye
"Ducks, Geese, and Swans",Smew
"Ducks, Geese, and Swans",Hooded Merganser
"Ducks, Geese, and Swans",Common Merganser
"Ducks, Geese, and Swans",Red-breasted Merganser
"Ducks, Geese, and Swans",Masked Duck
"Ducks, Geese, and Swans",Ruddy Duck
Curassows and Guans,Plain Chachalaca
New World Quail,Mountain Quail
New World Quail,Scaled Quail
New World Quail,California Quail
New World Quail,Gambel's Quail
New World Quail,Northern Bobwhite
New World Quail,Montezuma Quail
"Partridges, Grouse, Turkeys, and Old World Quail",Chukar
"Partridges, Grouse, Turkeys, and Old World Quail",Himalayan Snowcock
"Partridges, Grouse, Turkeys, and Old World Quail",Gray Partridge
"Partridges, Grouse, Turkeys, and Old World Quail",Ring-necked Pheasant
"Partridges, Grouse, Turkeys, and Old World Quail",Ruffed Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Greater Sage-Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Gunnison Sage-Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Spruce Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Willow Ptarmigan
"Partridges, Grouse, Turkeys, and Old World Quail",Rock Ptarmigan
"Partridges, Grouse, Turkeys, and Old World Quail",White-tailed Ptarmigan
"Partridges, Grouse, Turkeys, and Old World Quail",Dusky Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Sooty Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Sharp-tailed Grouse
"Partridges, Grouse, Turkeys, and Old World Quail",Greater Prairie-Chicken
"Partridges, Grouse, Turkeys, and Old World Quail",Lesser Prairie-Chicken
"Partridges, Grouse, Turkeys, and Old World Quail",Wild Turkey
Loons,Red-throated Loon
Loons,Arctic Loon
Loons,Pacific Loon
Loons,Common Loon
Loons,Yellow-billed Loon
Grebes,Least Grebe
Grebes,Pied-billed Grebe
Grebes,Horned Grebe
Grebes,Red-necked Grebe
Grebes,Eared Grebe
Grebes,Western Grebe
Grebes,Clark's Grebe
Flamingos,American Flamingo
Albatrosses,Yellow-nosed Albatross
Albatrosses,White-capped Albatross
Albatrosses,Salvin’s Albatross
Albatrosses,Black-browed Albatross
Albatrosses,Light-mantled Albatross
Albatrosses,Wandering Albatross
Albatrosses,Laysan Albatross
Albatrosses,Black-footed Albatross
Albatrosses,Short-tailed Albatross
Shearwaters and Petrels,Northern Fulmar
Shearwaters and Petrels,Great-winged Petrel
Shearwaters and Petrels,Providence Petrel
Shearwaters and Petrels,Trindade Petrel
Shearwaters and Petrels,Murphy's Petrel
Shearwaters and Petrels,Mottled Petrel
Shearwaters and Petrels,Bermuda Petrel
Shearwaters and Petrels,Black-capped Petrel
Shearwaters and Petrels,Hawaiian Petrel
Shearwaters and Petrels,Fea's Petrel
Shearwaters and Petrels,Zino’s Petrel
Shearwaters and Petrels,Cook's Petrel
Shearwaters and Petrels,Stejneger's Petrel
Shearwaters and Petrels,Bulwer's Petrel
Shearwaters and Petrels,White-chinned Petrel
Shearwaters and Petrels,Parkinson's Petrel
Shearwaters and Petrels,Streaked Shearwater
Shearwaters and Petrels,Cory's Shearwater
Shearwaters and Petrels,Cape Verde Shearwater
Shearwaters and Petrels,Pink-footed Shearwater
Shearwaters and Petrels,Flesh-footed Shearwater
Shearwaters and Petrels,Great Shearwater
Shearwaters and Petrels,Wedge-tailed Shearwater
Shearwaters and Petrels,Buller's Shearwater
Shearwaters and Petrels,Sooty Shearwater
Shearwaters and Petrels,Short-tailed Shearwater
Shearwaters and Petrels,Manx Shearwater
Shearwaters and Petrels,Newell’s Shearwater
Shearwaters and Petrels,Black-vented Shearwater
Shearwaters and Petrels,Audubon's Shearwater
Shearwaters and Petrels,Barolo Shearwater
Storm-Petrels,Wilson's Storm-Petrel
Storm-Petrels,White-faced Storm-Petrel
Storm-Petrels,European Storm-Petrel
Storm-Petrels,Black-bellied Storm-Petrel
Storm-Petrels,Fork-tailed Storm-Petrel
Storm-Petrels,Ringed Storm-Petrel
Storm-Petrels,Swinhoe's Storm-Petrel
Storm-Petrels,Leach's Storm-Petrel
Storm-Petrels,Townsend's Storm-Petrel
Storm-Petrels,Ashy Storm-Petrel
Storm-Petrels,Band-rumped Storm-Petrel
Storm-Petrels,Wedge-rumped Storm-Petrel
Storm-Petrels,Black Storm-Petrel
Storm-Petrels,Tristram's Storm-Petrel
Storm-Petrels,Least Storm-Petrel
Tropicbirds,White-tailed Tropicbird
Tropicbirds,Red-billed Tropicbird
Tropicbirds,Red-tailed Tropicbird
Storks,Jabiru
Storks,Wood Stork
Frigatebirds,Magnificent Frigatebird
Frigatebirds,Great Frigatebird
Frigatebirds,Lesser Frigatebird
Boobies and Gannets,Masked Booby
Boobies and Gannets,Blue-footed Booby
Boobies and Gannets,Brown Booby
Boobies and Gannets,Red-footed Booby
Boobies and Gannets,Northern Gannet
Cormorants,Brandt's Cormorant
Cormorants,Neotropic Cormorant
Cormorants,Double-crested Cormorant
Cormorants,Great Cormorant
Cormorants,Red-faced Cormorant
Cormorants,Pelagic Cormorant
Darters,Anhinga
Pelicans,American White Pelican
Pelicans,Brown Pelican
"Bitterns, Herons, and Allies",American Bittern
"Bitterns, Herons, and Allies",Yellow Bittern
"Bitterns, Herons, and Allies",Least Bittern
"Bitterns, Herons, and Allies",Bare-throated Tiger-Heron
"Bitterns, Herons, and Allies",Great Blue Heron
"Bitterns, Herons, and Allies",Gray Heron
"Bitterns, Herons, and Allies",Great Egret
"Bitterns, Herons, and Allies",Intermediate Egret
"Bitterns, Herons, and Allies",Chinese Egret
"Bitterns, Herons, and Allies",Little Egret
"Bitterns, Herons, and Allies",Western Reef-Heron
"Bitterns, Herons, and Allies",Snowy Egret
"Bitterns, Herons, and Allies",Little Blue Heron
"Bitterns, Herons, and Allies",Tricolored Heron
"Bitterns, Herons, and Allies",Reddish Egret
"Bitterns, Herons, and Allies",Cattle Egret
"Bitterns, Herons, and Allies",Chinese Pond-Heron
"Bitterns, Herons, and Allies",Green Heron
"Bitterns, Herons, and Allies",Black-crowned Night-Heron
"Bitterns, Herons, and Allies",Yellow-crowned Night-Heron
Ibises and Spoonbills,White Ibis
Ibises and Spoonbills,Scarlet Ibis
Ibises and Spoonbills,Glossy Ibis
Ibises and Spoonbills,White-faced Ibis
Ibises and Spoonbills,Roseate Spoonbill
New World Vultures,Black Vulture
New World Vultures,Turkey Vulture
New World Vultures,California Condor
Ospreys,Osprey
"Hawks, Kites, Eagles, and Allies",Hook-billed Kite
"Hawks, Kites, Eagles, and Allies",Swallow-tailed Kite
"Hawks, Kites, Eagles, and Allies",White-tailed Kite
"Hawks, Kites, Eagles, and Allies",Snail Kite
"Hawks, Kites, Eagles, and Allies",Double-toothed Kite
"Hawks, Kites, Eagles, and Allies",Mississippi Kite
"Hawks, Kites, Eagles, and Allies",Bald Eagle
"Hawks, Kites, Eagles, and Allies",White-tailed Eagle
"Hawks, Kites, Eagles, and Allies",Steller's Sea-Eagle
"Hawks, Kites, Eagles, and Allies",Northern Harrier
"Hawks, Kites, Eagles, and Allies",Sharp-shinned Hawk
"Hawks, Kites, Eagles, and Allies",Cooper's Hawk
"Hawks, Kites, Eagles, and Allies",Northern Goshawk
"Hawks, Kites, Eagles, and Allies",Crane Hawk
"Hawks, Kites, Eagles, and Allies",Common Black Hawk
"Hawks, Kites, Eagles, and Allies",Roadside Hawk
"Hawks, Kites, Eagles, and Allies",Harris's Hawk
"Hawks, Kites, Eagles, and Allies",White-tailed Hawk
"Hawks, Kites, Eagles, and Allies",Gray Hawk
"Hawks, Kites, Eagles, and Allies",Red-shouldered Hawk
"Hawks, Kites, Eagles, and Allies",Broad-winged Hawk
"Hawks, Kites, Eagles, and Allies",Short-tailed Hawk
"Hawks, Kites, Eagles, and Allies",Swainson's Hawk
"Hawks, Kites, Eagles, and Allies",Zone-tailed Hawk
"Hawks, Kites, Eagles, and Allies",Red-tailed Hawk
"Hawks, Kites, Eagles, and Allies",Rough-legged Hawk
"Hawks, Kites, Eagles, and Allies",Ferruginous Hawk
"Hawks, Kites, Eagles, and Allies",Golden Eagle
"Rails, Gallinules, and Coots",Yellow Rail
"Rails, Gallinules, and Coots",Black Rail
"Rails, Gallinules, and Coots",Corn Crake
"Rails, Gallinules, and Coots",Ridgway’s Rail
"Rails, Gallinules, and Coots",Clapper Rail
"Rails, Gallinules, and Coots",King Rail
"Rails, Gallinules, and Coots",Virginia Rail
"Rails, Gallinules, and Coots",Rufous-necked Wood-Rail
"Rails, Gallinules, and Coots",Sora
"Rails, Gallinules, and Coots",Paint-billed Crake
"Rails, Gallinules, and Coots",Spotted Rail
"Rails, Gallinules, and Coots",Purple Swamphen
"Rails, Gallinules, and Coots",Purple Gallinule
"Rails, Gallinules, and Coots",Common Gallinule
"Rails, Gallinules, and Coots",Common Moorhen
"Rails, Gallinules, and Coots",Eurasian Coot
"Rails, Gallinules, and Coots",American Coot
Sungrebes,Sungrebe
Limpkins,Limpkin
Cranes,Sandhill Crane
Cranes,Common Crane
Cranes,Whooping Crane
Thick-knees,Double-striped Thick-knee
Stilts and Avocets,Black-winged Stilt
Stilts and Avocets,Black-necked Stilt
Stilts and Avocets,American Avocet
Oystercatchers,Eurasian Oystercatcher
Oystercatchers,American Oystercatcher
Oystercatchers,Black Oystercatcher
Lapwings and Plovers,Northern Lapwing
Lapwings and Plovers,Black-bellied Plover
Lapwings and Plovers,European Golden-Plover
Lapwings and Plovers,American Golden-Plover
Lapwings and Plovers,Pacific Golden-Plover
Lapwings and Plovers,Lesser Sand-Plover
Lapwings and Plovers,Greater Sand-Plover
Lapwings and Plovers,Collared Plover
Lapwings and Plovers,Snowy Plover
Lapwings and Plovers,Wilson's Plover
Lapwings and Plovers,Common Ringed Plover
Lapwings and Plovers,Semipalmated Plover
Lapwings and Plovers,Piping Plover
Lapwings and Plovers,Little Ringed Plover
Lapwings and Plovers,Killdeer
Lapwings and Plovers,Mountain Plover
Lapwings and Plovers,Eurasian Dotterel
Jacanas,Northern Jacana
"Sandpipers, Phalaropes, and Allies",Terek Sandpiper
"Sandpipers, Phalaropes, and Allies",Common Sandpiper
"Sandpipers, Phalaropes, and Allies",Spotted Sandpiper
"Sandpipers, Phalaropes, and Allies",Green Sandpiper
"Sandpipers, Phalaropes, and Allies",Solitary Sandpiper
"Sandpipers, Phalaropes, and Allies",Gray-tailed Tattler
"Sandpipers, Phalaropes, and Allies",Wandering Tattler
"Sandpipers, Phalaropes, and Allies",Spotted Redshank
"Sandpipers, Phalaropes, and Allies",Greater Yellowlegs
"Sandpipers, Phalaropes, and Allies",Common Greenshank
"Sandpipers, Phalaropes, and Allies",Willet
"Sandpipers, Phalaropes, and Allies",Lesser Yellowlegs
"Sandpipers, Phalaropes, and Allies",Marsh Sandpiper
"Sandpipers, Phalaropes, and Allies",Wood Sandpiper
"Sandpipers, Phalaropes, and Allies",Common Redshank
"Sandpipers, Phalaropes, and Allies",Upland Sandpiper
"Sandpipers, Phalaropes, and Allies",Little Curlew
"Sandpipers, Phalaropes, and Allies",Eskimo Curlew
"Sandpipers, Phalaropes, and Allies",Whimbrel
"Sandpipers, Phalaropes, and Allies",Bristle-thighed Curlew
"Sandpipers, Phalaropes, and Allies",Far Eastern Curlew
"Sandpipers, Phalaropes, and Allies",Slender-billed Curlew
"Sandpipers, Phalaropes, and Allies",Eurasian Curlew
"Sandpipers, Phalaropes, and Allies",Long-billed Curlew
"Sandpipers, Phalaropes, and Allies",Black-tailed Godwit
"Sandpipers, Phalaropes, and Allies",Hudsonian Godwit
"Sandpipers, Phalaropes, and Allies",Bar-tailed Godwit
"Sandpipers, Phalaropes, and Allies",Marbled Godwit
"Sandpipers, Phalaropes, and Allies",Ruddy Turnstone
"Sandpipers, Phalaropes, and Allies",Black Turnstone
"Sandpipers, Phalaropes, and Allies",Great Knot
"Sandpipers, Phalaropes, and Allies",Red Knot
"Sandpipers, Phalaropes, and Allies",Surfbird
"Sandpipers, Phalaropes, and Allies",Ruff
"Sandpipers, Phalaropes, and Allies",Broad-billed Sandpiper
"Sandpipers, Phalaropes, and Allies",Sharp-tailed Sandpiper
"Sandpipers, Phalaropes, and Allies",Stilt Sandpiper
"Sandpipers, Phalaropes, and Allies",Curlew Sandpiper
"Sandpipers, Phalaropes, and Allies",Temminck's Stint
"Sandpipers, Phalaropes, and Allies",Long-toed Stint
"Sandpipers, Phalaropes, and Allies",Spoon-billed Sandpiper
"Sandpipers, Phalaropes, and Allies",Red-necked Stint
"Sandpipers, Phalaropes, and Allies",Sanderling
"Sandpipers, Phalaropes, and Allies",Dunlin
"Sandpipers, Phalaropes, and Allies",Rock Sandpiper
"Sandpipers, Phalaropes, and Allies",Purple Sandpiper
"Sandpipers, Phalaropes, and Allies",Baird's Sandpiper
"Sandpipers, Phalaropes, and Allies",Little Stint
"Sandpipers, Phalaropes, and Allies",Least Sandpiper
"Sandpipers, Phalaropes, and Allies",White-rumped Sandpiper
"Sandpipers, Phalaropes, and Allies",Buff-breasted Sandpiper
"Sandpipers, Phalaropes, and Allies",Pectoral Sandpiper
"Sandpipers, Phalaropes, and Allies",Semipalmated Sandpiper
"Sandpipers, Phalaropes, and Allies",Western Sandpiper
"Sandpipers, Phalaropes, and Allies",Short-billed Dowitcher
"Sandpipers, Phalaropes, and Allies",Long-billed Dowitcher
"Sandpipers, Phalaropes, and Allies",Jack Snipe
"Sandpipers, Phalaropes, and Allies",Wilson's Snipe
"Sandpipers, Phalaropes, and Allies",Common Snipe
"Sandpipers, Phalaropes, and Allies",Pin-tailed Snipe
"Sandpipers, Phalaropes, and Allies",Solitary Snipe
"Sandpipers, Phalaropes, and Allies",Eurasian Woodcock
"Sandpipers, Phalaropes, and Allies",American Woodcock
"Sandpipers, Phalaropes, and Allies",Wilson's Phalarope
"Sandpipers, Phalaropes, and Allies",Red-necked Phalarope
"Sandpipers, Phalaropes, and Allies",Red Phalarope
Pratincoles,Oriental Pratincole
Skuas and Jaegers,Great Skua
Skuas and Jaegers,South Polar Skua
Skuas and Jaegers,Pomarine Jaeger
Skuas and Jaegers,Parasitic Jaeger
Skuas and Jaegers,Long-tailed Jaeger
"Auks, Murres, and Puffins",Dovekie
"Auks, Murres, and Puffins",Common Murre
"Auks, Murres, and Puffins",Thick-billed Murre
"Auks, Murres, and Puffins",Razorbill
"Auks, Murres, and Puffins",Great Auk
"Auks, Murres, and Puffins",Black Guillemot
"Auks, Murres, and Puffins",Pigeon Guillemot
"Auks, Murres, and Puffins",Long-billed Murrelet
"Auks, Murres, and Puffins",Marbled Murrelet
"Auks, Murres, and Puffins",Kittlitz's Murrelet
"Auks, Murres, and Puffins",Scripps's Murrelet
"Auks, Murres, and Puffins",Guadalupe Murrelet
"Auks, Murres, and Puffins",Craveri's Murrelet
"Auks, Murres, and Puffins",Ancient Murrelet
"Auks, Murres, and Puffins",Cassin's Auklet
"Auks, Murres, and Puffins",Parakeet Auklet
"Auks, Murres, and Puffins",Least Auklet
"Auks, Murres, and Puffins",Whiskered Auklet
"Auks, Murres, and Puffins",Crested Auklet
"Auks, Murres, and Puffins",Rhinoceros Auklet
"Auks, Murres, and Puffins",Atlantic Puffin
"Auks, Murres, and Puffins",Horned Puffin
"Auks, Murres, and Puffins",Tufted Puffin
"Gulls, Terns, and Skimmers",Swallow-tailed Gull
"Gulls, Terns, and Skimmers",Black-legged Kittiwake
"Gulls, Terns, and Skimmers",Red-legged Kittiwake
"Gulls, Terns, and Skimmers",Ivory Gull
"Gulls, Terns, and Skimmers",Sabine's Gull
"Gulls, Terns, and Skimmers",Bonaparte's Gull
"Gulls, Terns, and Skimmers",Gray-hooded Gull
"Gulls, Terns, and Skimmers",Black-headed Gull
"Gulls, Terns, and Skimmers",Little Gull
"Gulls, Terns, and Skimmers",Ross's Gull
"Gulls, Terns, and Skimmers",Laughing Gull
"Gulls, Terns, and Skimmers",Franklin's Gull
"Gulls, Terns, and Skimmers",Belcher's Gull
"Gulls, Terns, and Skimmers",Black-tailed Gull
"Gulls, Terns, and Skimmers",Heermann's Gull
"Gulls, Terns, and Skimmers",Mew Gull
"Gulls, Terns, and Skimmers",Ring-billed Gull
"Gulls, Terns, and Skimmers",Western Gull
"Gulls, Terns, and Skimmers",Yellow-footed Gull
"Gulls, Terns, and Skimmers",California Gull
"Gulls, Terns, and Skimmers",Herring Gull
"Gulls, Terns, and Skimmers",Yellow-legged Gull
"Gulls, Terns, and Skimmers",Thayer's Gull
"Gulls, Terns, and Skimmers",Iceland Gull
"Gulls, Terns, and Skimmers",Lesser Black-backed Gull
"Gulls, Terns, and Skimmers",Slaty-backed Gull
"Gulls, Terns, and Skimmers",Glaucous-winged Gull
"Gulls, Terns, and Skimmers",Glaucous Gull
"Gulls, Terns, and Skimmers",Great Black-backed Gull
"Gulls, Terns, and Skimmers",Kelp Gull
"Gulls, Terns, and Skimmers",Brown Noddy
"Gulls, Terns, and Skimmers",Black Noddy
"Gulls, Terns, and Skimmers",Sooty Tern
"Gulls, Terns, and Skimmers",Bridled Tern
"Gulls, Terns, and Skimmers",Aleutian Tern
"Gulls, Terns, and Skimmers",Least Tern
"Gulls, Terns, and Skimmers",Large-billed Tern
"Gulls, Terns, and Skimmers",Gull-billed Tern
"Gulls, Terns, and Skimmers",Caspian Tern
"Gulls, Terns, and Skimmers",Black Tern
"Gulls, Terns, and Skimmers",White-winged Tern
"Gulls, Terns, and Skimmers",Whiskered Tern
"Gulls, Terns, and Skimmers",Roseate Tern
"Gulls, Terns, and Skimmers",Common Tern
"Gulls, Terns, and Skimmers",Arctic Tern
"Gulls, Terns, and Skimmers",Forster's Tern
"Gulls, Terns, and Skimmers",Royal Tern
"Gulls, Terns, and Skimmers",Sandwich Tern
"Gulls, Terns, and Skimmers",Elegant Tern
"Gulls, Terns, and Skimmers",Black Skimmer
Pigeons and Doves,Rock Pigeon
Pigeons and Doves,Scaly-naped Pigeon
Pigeons and Doves,White-crowned Pigeon
Pigeons and Doves,Red-billed Pigeon
Pigeons and Doves,Band-tailed Pigeon
Pigeons and Doves,Oriental Turtle-Dove
Pigeons and Doves,European Turtle-Dove
Pigeons and Doves,Eurasian Collared-Dove
Pigeons and Doves,Spotted Dove
Pigeons and Doves,Passenger Pigeon
Pigeons and Doves,Inca Dove
Pigeons and Doves,Common Ground-Dove
Pigeons and Doves,Ruddy Ground-Dove
Pigeons and Doves,Ruddy Quail-Dove
Pigeons and Doves,Key West Quail-Dove
Pigeons and Doves,White-tipped Dove
Pigeons and Doves,White-winged Dove
Pigeons and Doves,Zenaida Dove
Pigeons and Doves,Mourning Dove
