family,members
"Cuckoos, Roadrunners, and Anis",Common Cuckoo
"Cuckoos, Roadrunners, and Anis",Oriental Cuckoo
"Cuckoos, Roadrunners, and Anis",Yellow-billed Cuckoo
"Cuckoos, Roadrunners, and Anis",Mangrove Cuckoo
"Cuckoos, Roadrunners, and Anis",Black-billed Cuckoo
"Cuckoos, Roadrunners, and Anis",Greater Roadrunner
"Cuckoos, Roadrunners, and Anis",Smooth-billed Ani
"Cuckoos, Roadrunners, and Anis",Groove-billed Ani
Barn Owls,Barn Owl
Typical Owls,Flammulated Owl
Typical Owls,Oriental Scops-Owl
Typical Owls,Western Screech-Owl
Typical Owls,Eastern Screech-Owl
Typical Owls,Whiskered Screech-Owl
Typical Owls,Great Horned Owl
Typical Owls,Snowy Owl
Typical Owls,Northern Hawk Owl
Typical Owls,Northern Pygmy-Owl
Typical Owls,Ferruginous Pygmy-Owl
Typical Owls,Elf Owl
Typical Owls,Burrowing Owl
Typical Owls,Mottled Owl
Typical Owls,Spotted Owl
Typical Owls,Barred Owl
Typical Owls,Great Gray Owl
Typical Owls,Long-eared Owl
Typical Owls,Stygian Owl
Typical Owls,Short-eared Owl
Typical Owls,Boreal Owl
Typical Owls,Northern Saw-whet Owl
Typical Owls,Northern Boobook
Goatsuckers,Lesser Nighthawk
Goatsuckers,Common Nighthawk
Goatsuckers,Antillean Nighthawk
Goatsuckers,Common Pauraque
Goatsuckers,Common Poorwill
Goatsuckers,Chuck-will's-widow
Goatsuckers,Buff-collared Nightjar
Goatsuckers,Eastern Whip-poor-will
Goatsuckers,Mexican Whip-poor-will
Goatsuckers,Gray Nightjar
Swifts,Black Swift
Swifts,White-collared Swift
Swifts,Chimney Swift
Swifts,Vaux's Swift
Swifts,White-throated Needletail
Swifts,Common Swift
Swifts,Fork-tailed Swift
Swifts,White-throated Swift
Swifts,Antillean Palm-Swift
Hummingbirds,Green Violetear
Hummingbirds,Green-breasted Mango
Hummingbirds,Magnificent Hummingbird
Hummingbirds,Plain-capped Starthroat
Hummingbirds,Blue-throated Hummingbird
Hummingbirds,Bahama Woodstar
Hummingbirds,Lucifer Hummingbird
Hummingbirds,Ruby-throated Hummingbird
Hummingbirds,Black-chinned Hummingbird
Hummingbirds,Anna's Hummingbird
Hummingbirds,Costa's Hummingbird
Hummingbirds,Bumblebee Hummingbird
Hummingbirds,Broad-tailed Hummingbird
Hummingbirds,Rufous Hummingbird
Hummingbirds,Allen's Hummingbird
Hummingbirds,Calliope Hummingbird
Hummingbirds,Broad-billed Hummingbird
Hummingbirds,Berylline Hummingbird
Hummingbirds,Buff-bellied Hummingbird
Hummingbirds,Cinnamon Hummingbird
Hummingbirds,Violet-crowned Hummingbird
Hummingbirds,White-eared Hummingbird
Hummingbirds,Xantus's Hummingbird
Trogons,Elegant Trogon
Trogons,Eared Quetzal
Hoopoes,Eurasian Hoopoe
Kingfishers,Ringed Kingfisher
Kingfishers,Belted Kingfisher
Kingfishers,Amazon Kingfisher
Kingfishers,Green Kingfisher
Woodpeckers and Allies,Eurasian Wryneck
Woodpeckers and Allies,Lewis's Woodpecker
Woodpeckers and Allies,Red-headed Woodpecker
Woodpeckers and Allies,Acorn Woodpecker
Woodpeckers and Allies,Gila Woodpecker
Woodpeckers and Allies,Golden-fronted Woodpecker
Woodpeckers and Allies,Red-bellied Woodpecker
Woodpeckers and Allies,Williamson's Sapsucker
Woodpeckers and Allies,Yellow-bellied Sapsucker
Woodpeckers and Allies,Red-naped Sapsucker
Woodpeckers and Allies,Red-breasted Sapsucker
Woodpeckers and Allies,Great Spotted Woodpecker
Woodpeckers and Allies,Ladder-backed Woodpecker
Woodpeckers and Allies,Nuttall's Woodpecker
Woodpeckers and Allies,Downy Woodpecker
Woodpeckers and Allies,Hairy Woodpecker
Woodpeckers and Allies,Arizona Woodpecker
Woodpeckers and Allies,Red-cockaded Woodpecker
Woodpeckers and Allies,White-headed Woodpecker
Woodpeckers and Allies,American Three-toed Woodpecker
Woodpeckers and Allies,Black-backed Woodpecker
Woodpeckers and Allies,Northern Flicker
Woodpeckers and Allies,Gilded Flicker
Woodpeckers and Allies,Pileated Woodpecker
Woodpeckers and Allies,Ivory-billed Woodpecker
Caracaras and Falcons,Collared Forest-Falcon
Caracaras and Falcons,Crested Caracara
Caracaras and Falcons,Eurasian Kestrel
Caracaras and Falcons,American Kestrel
Caracaras and Falcons,Red-footed Falcon
Caracaras and Falcons,Merlin
Caracaras and Falcons,Eurasian Hobby
Caracaras and Falcons,Aplomado Falcon
Caracaras and Falcons,Gyrfalcon
Caracaras and Falcons,Peregrine Falcon
Caracaras and Falcons,Prairie Falcon
"Lories, Lovebirds, and Australasian Parrots",Rosy-faced Lovebird
"Parakeets, Macaws, and Parrots",Monk Parakeet
"Parakeets, Macaws, and Parrots",Carolina Parakeet
"Parakeets, Macaws, and Parrots",Nanday Parakeet
"Parakeets, Macaws, and Parrots",Green Parakeet
"Parakeets, Macaws, and Parrots",Thick-billed Parrot
"Parakeets, Macaws, and Parrots",White-winged Parakeet
"Parakeets, Macaws, and Parrots",Red-crowned Parrot
Tyrant Flycatchers,Northern Beardless-Tyrannulet
Tyrant Flycatchers,Greenish Elaenia
Tyrant Flycatchers,White-crested Elaenia
Tyrant Flycatchers,Tufted Flycatcher
Tyrant Flycatchers,Olive-sided Flycatcher
Tyrant Flycatchers,Greater Pewee
Tyrant Flycatchers,Western Wood-Pewee
Tyrant Flycatchers,Eastern Wood-Pewee
Tyrant Flycatchers,Cuban Pewee
Tyrant Flycatchers,Yellow-bellied Flycatcher
Tyrant Flycatchers,Acadian Flycatcher
Tyrant Flycatchers,Alder Flycatcher
Tyrant Flycatchers,Willow Flycatcher
Tyrant Flycatchers,Least Flycatcher
Tyrant Flycatchers,Hammond's Flycatcher
Tyrant Flycatchers,Gray Flycatcher
Tyrant Flycatchers,Dusky Flycatcher
Tyrant Flycatchers,Pacific-slope Flycatcher
Tyrant Flycatchers,Cordilleran Flycatcher
Tyrant Flycatchers,Buff-breasted Flycatcher
Tyrant Flycatchers,Black Phoebe
Tyrant Flycatchers,Eastern Phoebe
Tyrant Flycatchers,Say's Phoebe
Tyrant Flycatchers,Vermilion Flycatcher
Tyrant Flycatchers,Dusky-capped Flycatcher
Tyrant Flycatchers,Ash-throated Flycatcher
Tyrant Flycatchers,Nutting's Flycatcher
Tyrant Flycatchers,Great Crested Flycatcher
Tyrant Flycatchers,Brown-crested Flycatcher
Tyrant Flycatchers,La Sagra's Flycatcher
Tyrant Flycatchers,Great Kiskadee
Tyrant Flycatchers,Social Flycatcher
Tyrant Flycatchers,Sulphur-bellied Flycatcher
Tyrant Flycatchers,Piratic Flycatcher
Tyrant Flycatchers,Variegated Flycatcher
Tyrant Flycatchers,Crowned Slaty Flycatcher
Tyrant Flycatchers,Tropical Kingbird
Tyrant Flycatchers,Couch's Kingbird
Tyrant Flycatchers,Cassin's Kingbird
Tyrant Flycatchers,Thick-billed Kingbird
Tyrant Flycatchers,Western Kingbird
Tyrant Flycatchers,Eastern Kingbird
Tyrant Flycatchers,Gray Kingbird
Tyrant Flycatchers,Loggerhead Kingbird
Tyrant Flycatchers,Scissor-tailed Flycatcher
Tyrant Flycatchers,Fork-tailed Flycatcher
"Becards, Tityras, and Allies",Masked Tityra
"Becards, Tityras, and Allies",Gray-collared Becard
"Becards, Tityras, and Allies",Rose-throated Becard
Shrikes,Brown Shrike
Shrikes,Loggerhead Shrike
Shrikes,Northern Shrike
Vireos,White-eyed Vireo
Vireos,Thick-billed Vireo
Vireos,Bell's Vireo
Vireos,Black-capped Vireo
Vireos,Gray Vireo
Vireos,Yellow-throated Vireo
Vireos,Plumbeous Vireo
Vireos,Cassin's Vireo
Vireos,Blue-headed Vireo
Vireos,Hutton's Vireo
Vireos,Warbling Vireo
Vireos,Philadelphia Vireo
Vireos,Red-eyed Vireo
Vireos,Yellow-green Vireo
Vireos,Black-whiskered Vireo
Vireos,Yucatan Vireo
Jays and Crows,Gray Jay
Jays and Crows,Brown Jay
Jays and Crows,Green Jay
Jays and Crows,Pinyon Jay
Jays and Crows,Steller's Jay
Jays and Crows,Blue Jay
Jays and Crows,Florida Scrub-Jay
Jays and Crows,Island Scrub-Jay
Jays and Crows,California Scrub-Jay
Jays and Crows,Woodhouse's Scrub-Jay
Jays and Crows,Mexican Jay
Jays and Crows,Clark's Nutcracker
Jays and Crows,Black-billed Magpie
Jays and Crows,Yellow-billed Magpie
Jays and Crows,Eurasian Jackdaw
Jays and Crows,American Crow
Jays and Crows,Northwestern Crow
Jays and Crows,Tamaulipas Crow
Jays and Crows,Fish Crow
Jays and Crows,Chihuahuan Raven
Jays and Crows,Common Raven
Larks,Eurasian Skylark
Larks,Horned Lark
Swallows,Purple Martin
Swallows,Cuban Martin
Swallows,Gray-breasted Martin
Swallows,Southern Martin
Swallows,Brown-chested Martin
Swallows,Tree Swallow
Swallows,Mangrove Swallow
Swallows,Violet-green Swallow
Swallows,Bahama Swallow
Swallows,Northern Rough-winged Swallow
Swallows,Bank Swallow
Swallows,Cliff Swallow
Swallows,Cave Swallow
Swallows,Barn Swallow
Swallows,Common House-Martin
Chickadees and Titmice,Carolina Chickadee
Chickadees and Titmice,Black-capped Chickadee
Chickadees and Titmice,Mountain Chickadee
Chickadees and Titmice,Mexican Chickadee
Chickadees and Titmice,Chestnut-backed Chickadee
Chickadees and Titmice,Boreal Chickadee
Chickadees and Titmice,Gray-headed Chickadee
Chickadees and Titmice,Bridled Titmouse
Chickadees and Titmice,Oak Titmouse
Chickadees and Titmice,Juniper Titmouse
Chickadees and Titmice,Tufted Titmouse
Chickadees and Titmice,Black-crested Titmouse
Verdin,Verdin
Bushtits,Bushtit
Nuthatches,Red-breasted Nuthatch
Nuthatches,White-breasted Nuthatch
Nuthatches,Pygmy Nuthatch
Nuthatches,Brown-headed Nuthatch
Creepers,Brown Creeper
Wrens,Rock Wren
Wrens,Canyon Wren
Wrens,House Wren
Wrens,Pacific Wren
Wrens,Winter Wren
Wrens,Sedge Wren
Wrens,Marsh Wren
Wrens,Carolina Wren
Wrens,Bewick's Wren
Wrens,Cactus Wren
Wrens,Sinaloa Wren
Gnatcatchers and Gnatwrens,Blue-gray Gnatcatcher
Gnatcatchers and Gnatwrens,California Gnatcatcher
Gnatcatchers and Gnatwrens,Black-tailed Gnatcatcher
Gnatcatchers and Gnatwrens,Black-capped Gnatcatcher
Dippers,American Dipper
Bulbuls,Red-whiskered Bulbul
Kinglets,Golden-crowned Kinglet
Kinglets,Ruby-crowned Kinglet
Leaf Warblers,Willow Warbler
Leaf Warblers,Common Chiffchaff
Leaf Warblers,Wood Warbler
Leaf Warblers,Dusky Warbler
Leaf Warblers,Pallas's Leaf Warbler
Leaf Warblers,Yellow-browed Warbler
Leaf Warblers,Arctic Warbler
Leaf Warblers,Kamchatka Leaf Warbler
Sylviid Warblers,Lesser Whitethroat
Sylviid Warblers,Wrentit
Reed Warblers,Sedge Warbler
Grassbirds,Middendorff's Grasshopper-Warbler
Grassbirds,Lanceolated Warbler
Old World Flycatchers,Gray-streaked Flycatcher
Old World Flycatchers,Asian Brown Flycatcher
Old World Flycatchers,Spotted Flycatcher
Old World Flycatchers,Dark-sided Flycatcher
Old World Flycatchers,Rufous-tailed Robin
Old World Flycatchers,Siberian Rubythroat
Old World Flycatchers,Bluethroat
Old World Flycatchers,Siberian Blue Robin
Old World Flycatchers,Red-flanked Bluetail
Old World Flycatchers,Narcissus Flycatcher
Old World Flycatchers,Mugimaki Flycatcher
Old World Flycatchers,Taiga Flycatcher
Old World Flycatchers,Northern Wheatear
Old World Flycatchers,Common Redstart
Old World Flycatchers,Stonechat
Thrushes,Eastern Bluebird
Thrushes,Western Bluebird
Thrushes,Mountain Bluebird
Thrushes,Townsend's Solitaire
Thrushes,Brown-backed Solitaire
Thrushes,Orange-billed Nightingale-Thrush
Thrushes,Black-headed Nightingale-Thrush
Thrushes,Veery
Thrushes,Gray-cheeked Thrush
Thrushes,Bicknell's Thrush
Thrushes,Swainson's Thrush
Thrushes,Hermit Thrush
Thrushes,Wood Thrush
Thrushes,Eurasian Blackbird
Thrushes,Eyebrowed Thrush
Thrushes,Dusky Thrush
Thrushes,Fieldfare
Thrushes,Redwing
Thrushes,Song Thrush
Thrushes,Clay-colored Thrush
Thrushes,White-throated Thrush
Thrushes,Rufous-backed Robin
Thrushes,American Robin
Thrushes,Red-legged Thrush
Thrushes,Varied Thrush
Thrushes,Aztec Thrush
Mockingbirds and Thrashers,Blue Mockingbird
Mockingbirds and Thrashers,Gray Catbird
Mockingbirds and Thrashers,Curve-billed Thrasher
Mockingbirds and Thrashers,Brown Thrasher
Mockingbirds and Thrashers,Long-billed Thrasher
Mockingbirds and Thrashers,Bendire's Thrasher
Mockingbirds and Thrashers,California Thrasher
Mockingbirds and Thrashers,Le Conte's Thrasher
Mockingbirds and Thrashers,Crissal Thrasher
Mockingbirds and Thrashers,Sage Thrasher
Mockingbirds and Thrashers,Bahama Mockingbird
Mockingbirds and Thrashers,Northern Mockingbird
Starlings,European Starling
Starlings,Common Myna
Accentors,Siberian Accentor
Wagtails and Pipits,Eastern Yellow Wagtail
Wagtails and Pipits,Citrine Wagtail
Wagtails and Pipits,Gray Wagtail
Wagtails and Pipits,White Wagtail
Wagtails and Pipits,Tree Pipit
Wagtails and Pipits,Olive-backed Pipit
Wagtails and Pipits,Pechora Pipit
Wagtails and Pipits,Red-throated Pipit
Wagtails and Pipits,American Pipit
Wagtails and Pipits,Sprague's Pipit
Waxwings,Bohemian Waxwing
Waxwings,Cedar Waxwing
Silky-flycatchers,Gray Silky-flycatcher
Silky-flycatchers,Phainopepla
Olive Warblers,Olive Warbler
Longspurs and Snow Buntings,Lapland Longspur
Longspurs and Snow Buntings,Chestnut-collared Longspur
Longspurs and Snow Buntings,Smith's Longspur
Longspurs and Snow Buntings,McCown's Longspur
Longspurs and Snow Buntings,Snow Bunting
Longspurs and Snow Buntings,McKay's Bunting
Wood-Warblers,Ovenbird
Wood-Warblers,Worm-eating Warbler
Wood-Warblers,Louisiana Waterthrush
Wood-Warblers,Northern Waterthrush
Wood-Warblers,Bachman's Warbler
Wood-Warblers,Golden-winged Warbler
Wood-Warblers,Blue-winged Warbler
Wood-Warblers,Black-and-white Warbler
Wood-Warblers,Prothonotary Warbler
Wood-Warblers,Swainson's Warbler
Wood-Warblers,Crescent-chested Warbler
Wood-Warblers,Tennessee Warbler
Wood-Warblers,Orange-crowned Warbler
Wood-Warblers,Colima Warbler
Wood-Warblers,Lucy's Warbler
Wood-Warblers,Nashville Warbler
Wood-Warblers,Virginia's Warbler
Wood-Warblers,Connecticut Warbler
Wood-Warblers,Gray-crowned Yellowthroat
Wood-Warblers,MacGillivray's Warbler
Wood-Warblers,Mourning Warbler
Wood-Warblers,Kentucky Warbler
Wood-Warblers,Common Yellowthroat
Wood-Warblers,Hooded Warbler
Wood-Warblers,American Redstart
Wood-Warblers,Kirtland's Warbler
Wood-Warblers,Cape May Warbler
Wood-Warblers,Cerulean Warbler
Wood-Warblers,Northern Parula
Wood-Warblers,Tropical Parula
Wood-Warblers,Magnolia Warbler
Wood-Warblers,Bay-breasted Warbler
Wood-Warblers,Blackburnian Warbler
Wood-Warblers,Yellow Warbler
Wood-Warblers,Chestnut-sided Warbler
Wood-Warblers,Blackpoll Warbler
Wood-Warblers,Black-throated Blue Warbler
Wood-Warblers,Palm Warbler
Wood-Warblers,Pine Warbler
Wood-Warblers,Yellow-rumped Warbler
Wood-Warblers,Yellow-throated Warbler
Wood-Warblers,Prairie Warbler
Wood-Warblers,Grace's Warbler
Wood-Warblers,Black-throated Gray Warbler
Wood-Warblers,Townsend's Warbler
Wood-Warblers,Hermit Warbler
Wood-Warblers,Golden-cheeked Warbler
Wood-Warblers,Black-throated Green Warbler
Wood-Warblers,Fan-tailed Warbler
Wood-Warblers,Rufous-capped Warbler
Wood-Warblers,Golden-crowned Warbler
Wood-Warblers,Canada Warbler
Wood-Warblers,Wilson's Warbler
Wood-Warblers,Red-faced Warbler
Wood-Warblers,Painted Redstart
Wood-Warblers,Slate-throated Redstart
Wood-Warblers,Yellow-breasted Chat
Spindalises,Western Spindalis
Tanagers,Red-legged Honeycreeper
Tanagers,Bananaquit
Tanagers,Yellow-faced Grassquit
Tanagers,Black-faced Grassquit
Tanagers,White-collared Seedeater
Emberizids,Olive Sparrow
Emberizids,Green-tailed Towhee
Emberizids,Spotted Towhee
Emberizids,Eastern Towhee
Emberizids,Rufous-crowned Sparrow
Emberizids,Canyon Towhee
Emberizids,California Towhee
Emberizids,Abert's Towhee
Emberizids,Rufous-winged Sparrow
Emberizids,Botteri's Sparrow
Emberizids,Cassin's Sparrow
Emberizids,Bachman's Sparrow
Emberizids,American Tree Sparrow
Emberizids,Chipping Sparrow
Emberizids,Clay-colored Sparrow
Emberizids,Brewer's Sparrow
Emberizids,Field Sparrow
Emberizids,Worthen's Sparrow
Emberizids,Black-chinned Sparrow
Emberizids,Vesper Sparrow
Emberizids,Lark Sparrow
Emberizids,Five-striped Sparrow
Emberizids,Black-throated Sparrow
Emberizids,Sagebrush Sparrow
Emberizids,Bell's Sparrow
Emberizids,Lark Bunting
Emberizids,Savannah Sparrow
Emberizids,Grasshopper Sparrow
Emberizids,Baird's Sparrow
Emberizids,Henslow's Sparrow
Emberizids,Le Conte's Sparrow
Emberizids,Nelson's Sparrow
Emberizids,Saltmarsh Sparrow
Emberizids,Seaside Sparrow
Emberizids,Fox Sparrow
Emberizids,Song Sparrow
Emberizids,Lincoln's Sparrow
Emberizids,Swamp Sparrow
Emberizids,White-throated Sparrow
Emberizids,Harris's Sparrow
Emberizids,White-crowned Sparrow
Emberizids,Golden-crowned Sparrow
Emberizids,Dark-eyed Junco
Emberizids,Yellow-eyed Junco
Emberizids,Pine Bunting
Emberizids,Yellow-browed Bunting
Emberizids,Little Bunting
Emberizids,Rustic Bunting
Emberizids,Yellow-throated Bunting
Emberizids,Yellow-breasted Bunting
Emberizids,Gray Bunting
Emberizids,Pallas's Bunting
Emberizids,Reed Bunting
"Cardinals, Piranga Tanagers and Allies",Hepatic Tanager
"Cardinals, Piranga Tanagers and Allies",Summer Tanager
"Cardinals, Piranga Tanagers and Allies",Scarlet Tanager
"Cardinals, Piranga Tanagers and Allies",Western Tanager
"Cardinals, Piranga Tanagers and Allies",Flame-colored Tanager
"Cardinals, Piranga Tanagers and Allies",Crimson-collared Grosbeak
"Cardinals, Piranga Tanagers and Allies",Northern Cardinal
"Cardinals, Piranga Tanagers and Allies",Pyrrhuloxia
"Cardinals, Piranga Tanagers and Allies",Yellow Grosbeak
"Cardinals, Piranga Tanagers and Allies",Rose-breasted Grosbeak
"Cardinals, Piranga Tanagers and Allies",Black-headed Grosbeak
"Cardinals, Piranga Tanagers and Allies",Blue Bunting
"Cardinals, Piranga Tanagers and Allies",Blue Grosbeak
"Cardinals, Piranga Tanagers and Allies",Lazuli Bunting
"Cardinals, Piranga Tanagers and Allies",Indigo Bunting
"Cardinals, Piranga Tanagers and Allies",Varied Bunting
"Cardinals, Piranga Tanagers and Allies",Painted Bunting
"Cardinals, Piranga Tanagers and Allies",Dickcissel
Blackbirds,Bobolink
Blackbirds,Red-winged Blackbird
Blackbirds,Tricolored Blackbird
Blackbirds,Tawny-shouldered Blackbird
Blackbirds,Eastern Meadowlark
Blackbirds,Western Meadowlark
Blackbirds,Yellow-headed Blackbird
Blackbirds,Rusty Blackbird
Blackbirds,Brewer's Blackbird
Blackbirds,Common Grackle
Blackbirds,Boat-tailed Grackle
Blackbirds,Great-tailed Grackle
Blackbirds,Shiny Cowbird
Blackbirds,Bronzed Cowbird
Blackbirds,Brown-headed Cowbird
Blackbirds,Black-vented Oriole
Blackbirds,Orchard Oriole
Blackbirds,Hooded Oriole
Blackbirds,Streak-backed Oriole
Blackbirds,Bullock's Oriole
Blackbirds,Spot-breasted Oriole
Blackbirds,Altamira Oriole
Blackbirds,Audubon's Oriole
Blackbirds,Baltimore Oriole
Blackbirds,Scott's Oriole
Fringilline and Cardueline Finches and Allies,Common Chaffinch
Fringilline and Cardueline Finches and Allies,Brambling
Fringilline and Cardueline Finches and Allies,Asian Rosy-Finch
Fringilline and Cardueline Finches and Allies,Gray-crowned Rosy-Finch
Fringilline and Cardueline Finches and Allies,Black Rosy-Finch
Fringilline and Cardueline Finches and Allies,Brown-capped Rosy-Finch
Fringilline and Cardueline Finches and Allies,Pine Grosbeak
Fringilline and Cardueline Finches and Allies,Eurasian Bullfinch
Fringilline and Cardueline Finches and Allies,Common Rosefinch
Fringilline and Cardueline Finches and Allies,Pallas's Rosefinch
Fringilline and Cardueline Finches and Allies,House Finch
Fringilline and Cardueline Finches and Allies,Purple Finch
Fringilline and Cardueline Finches and Allies,Cassin's Finch
Fringilline and Cardueline Finches and Allies,Red Crossbill
Fringilline and Cardueline Finches and Allies,White-winged Crossbill
Fringilline and Cardueline Finches and Allies,Common Redpoll
Fringilline and Cardueline Finches and Allies,Hoary Redpoll
Fringilline and Cardueline Finches and Allies,Eurasian Siskin
Fringilline and Cardueline Finches and Allies,Pine Siskin
Fringilline and Cardueline Finches and Allies,Lesser Goldfinch
Fringilline and Cardueline Finches and Allies,Lawrence's Goldfinch
Fringilline and Cardueline Finches and Allies,American Goldfinch
Fringilline and Cardueline Finches and Allies,Oriental Greenfinch
Fringilline and Cardueline Finches and Allies,Evening Grosbeak
Fringilline and Cardueline Finches and Allies,Hawfinch
Old World Sparrows,House Sparrow
Old World Sparrows,Eurasian Tree Sparrow
Waxbills,Scaly-breasted Munia
